Título,Autor,Ano de publicação,Número de páginas
Harry Potter e a Pedra Filosofal,J.K. Rowling,1997,263
Harry Potter e a Câmara Secreta,J.K. Rowling,1998,287
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling,1999,348
A Sociedade do Anel,J.R.R. Tolkien,1954,608
As Duas Torres,J.R.R. Tolkien,1954,464
O Retorno do Rei,J.R.R. Tolkien,1955,528
O Pequeno Príncipe,Antoine de Saint-Exupéry,1943,96
Um Estudo em Vermelho,Arthur Conan Doyle,1887,176
O Signo dos Quatro,Arthur Conan Doyle,1890,176
O Cão dos Baskerville,Arthur Conan Doyle,1902,198
O Vale do Medo,Arthur Conan Doyle,1915,224
